"Treinamento","CATEGORIAS_1","(0: irrelevante ; 1: relevante ; 2: muito relevante)"
"sim professor eu não sei fazer uma árvore genealógica nesses aplicativos que vc passa você se importaria se eu fizesse no meu caderninho da coca cola","0",""
"eu só queria coxinha da ragazzo e uma coca-cola 🥺🥺🥺","1",""
"rt @cliente_orly: nada como uma boa e velha coca cola pós prática desportiva.","1",""
"@iaejubaa @thomzxx kkkkkkk sua cara se encher de coca cola msm","0",""
"coisas inúteis sobre mim

altura — 1,73
tamanho do pé — 43
signo — libra
tatuagens — 0 
piercing — já tive
cor fav — preto e azul
série fav — brooklyn 99
animal fav — gato
comida fav — macarrão e pizza
bebida fav — água e coca cola
jogo fav — sei não https://t.co/18hp10y6n1","2",""
"coisas inúteis sobre mim
altura — 1,68
idade — 24
tamanho do pé — 36
signo — capricórnio
tatuagens — 9
piercing — 0
cor fav — preto
série fav — game of thrones
animal fav — cachorro
comida fav ー japa e purê de batata
bebida fav — coca cola https://t.co/wuxmmg40uf","2",""
"14) eu sou viciada em coca cola","1",""
"@sichengrose quem come bolacha com coca cola sichengrose .","0",""
"coca-cola abre 258 vagas temporárias no paraná para projeto verão - bem paraná https://t.co/oon2bgx070","0",""
"pra quem não conhece eu sou assim:

altura — 1,53
idade — 21
tamanho do pé — 33
signo — escorpião 
tatuagens — 3
piercing — 2
cor fav — cinza
série fav — how i met your mother 
animal fav — gato 
comida fav ー batata e frango frito 
bebida fav — coca cola https://t.co/jqrgkut7fv https://t.co/bike7b2rwl","2",""
"danielle foi leva coca cola pro michel já não volta mais kkk muleque chato ainda foi de banho tomado sei não em paizão","0",""
"@hae_hehehe prefiro coca cola neah","1",""
"@tommoinfo @louis_tomlinson te amo te amo mas você não me dá bola 😢 vou me afogar em um copinho de coca cola","0",""
"rt @ingridbaroni3: o meu vício em coca cola é dms, pqp","1",""
"@luancas14042583 de tanto beber coca cola","0",""
"não comprem pepsi se vocês preferem coca-cola. não tem como mudar o gosto.","1",""
"@yutamuor meu deus amg, bebe coca cola","1",""
"@moacirsalvatore esse vício em coca cola meu pai... passo mal https://t.co/o1nsazebai","1",""
"quem é retornavel é coca cola bb, aqui meteu loco nois mete marcha","0",""
"o dia hoje foi muito bom,  mas tô cansada. com sono e querendo beber uma coca cola antes de dormir.... vai dar merda","0",""
"@tridomundo30 @thomzxx kkkkk manooo . nem sei mais oque é coca cola ... parei kkkk","0",""
"pão com ovo e coca cola é melhor que muita gente 😌","1",""
"gosto de mina novinha. 
foi comprar coca-cola e sacola não raspou mais não chão, o pai fuzila.","0",""
"nunca mais sei oque é aquela lasanha com coca cola😰","0",""
"@jorge55977676 isso é foda 
pra mim é isso com doce...

principalmente coca cola xd","1",""
"coisas inúteis sobre mim
altura — 2,00
idade — quase 21
tamanho do pé — 44 de princeso 
signo — escorpião 
tatuagens — 0
piercing — 0
cor fav — vermelho
série fav — friends
animal fav — sagui 
comida fav ー lasanha 
bebida fav — coca cola
jogo fav — basquete","2",""
"@blondeswft não tomo coca só cheiro cola","0",""
"quase 1 da manhã e eu aqui comendo pão com coca-cola","0",""
"tá eu e meu irmão acordados ainda, já assaltados a cozinha, cachorro quente, coca cola, brigadeiro, biscoito, e agora mingau 😥🤣","0",""
"@jfaraujoura @revistaoeste mcdonalds, mais de esquerda que eles so coca cola kkkkkkkkkkkkkkkkkkkkk","0",""
"@vanuci2112 não tem como ficar ruim

mas acho desnecessário colocar a coca-cola no molho barbecue caseiro

já fiz receita de molho semelhante sem o refrigerante e ficou totalmente excelente","0",""
"a história da menina com gastrite que sempre que ler que alguém toma coca cola pela manhã fica chocada perguntando como a pessoa nao morreu.","1",""
"eu pro felipe quinta: pq agora eu to super fitness, até trouxe suco, parei de beber refri
eu hoje: *misto quente, morango com brigadeiro, brownie, coca cola, batata frita*","1",""
"meu deus bebi coca alo alo interact isso é coca-cola não foi nada além disso","0",""
"8 coca cola , meu time joga fácil kkkk https://t.co/ht7odef5l3","0",""
"coisas inúteis sobre mim

altura — 1.65
tamanho do pé — 37
signo — gemeos
tatuagens — 5
piercing — 4
cor fav — azul
série fav — himym/odat
animal fav — cachorro 
comida fav — pizza
bebida fav — coca cola
jogo fav — truco","2",""
"baixei o zé delivery pra pedir coca cola..
não tem coca na merda no trem aaaa","1",""
"coisas inúteis sobre mim

altura — 1,60
tamanho do pé — 37 🏃
signo — touro
tatuagens — n tenho
piercing — nao tenho
cor fav — azul
serie fav — jatp,st e obx
animal fav — cachorro
comida fav — pizza
bebida fav — coca cola
jogo fav — o uno do plato

kibei famil","2",""
"@rollthegreys eu não gosto de coca cola, tem gosto de adoçante","2",""
"rt @felipechixaro_: pensando nela: 

a coca-cola bem gelada","2",""
"rt @mdenser: fazia tempo q não via a fome de perto.
ao fazer compras 2 garotos me abordaram: pele e osso. olhos fundos , voz arrastada deno…","0",""
"@fernandoaster @alexathaide meus refrigerantes tem sido coca-cola e mineirinho.

quando acho que estou perdendo a linha, água com gás, gelo e duas rodelas de limão.","0",""
"eu tomo coca cola e digo ""hmmm como não refresca"" por causa do bordão do coisa nossa af","0",""
"@oemever um copao de coca cola depois do almoço kkkkkkk eim","1",""
"@tpwlouiss amiga, coca cola é super saudável não entendo pq acham que não 😋😋","0",""
"único lugar que não senti medo da cobra cair da cachoeira foi no amazonas... com a água de coca cola de lá eu senti foi medo de uma sucuri sair do fundo e me puxar. https://t.co/gisg2tuzyx","0",""
"@lolozitajt eu cheguei a ler ""o diário de um mago"",  bonzinho,  mas não é essas coca-cola toda não. fico sem numa boa","0",""
"o meu digníssimo pai tomou toda a coca cola e em vez de ir lá fora jogar a garrafa na caixa de recicláveis, ele simplesmente tacou ela pela janela da cozinha no quintal","0",""
"tava bem faceira que n tinha tomado refri hj, pois bem fiz a janta quando vi já tinha cortado o limão p por na coca- cola kklkk","1",""
"@babyyfenner eu vo é beber coca cola","1",""
"nossa só pq eu tenho endoscopia amanhã e n posso comer mais nada eu estou sedenta em um misto quente delicioso com um copo enorme de coca cola","1",""
"pensando nela: 

a coca-cola bem gelada","2",""
"sei que vou morrer antes dos 20 pelo simples fato de ter acabado de tomar roacutan com coca cola","0",""
"@marcelo_maspfc @allansimon91 @rodrigoricardor e não é só isso, cara. na hora de fechar o pacote vc pega 1 bilhão do itaú, 1 bilhão da coca cola, e assim por diante. fecha brasileirão, libertadores, etc. agora tem o sbt, a band, entre outros. sabemos a dificuldade que é fechar um master no brasil. patrocínio é foda aqui","0",""
"altura- 1,68 por ai
idade- 19
tamanho do pé- 37
signo- aries
tatuagens- 0 :(
piercings- 8
cor fav- vermelho e preto
animal fav- coruja
comida fav- strogonoff 
bebida fav- coca cola

roubei de lele","2",""
"ta triste ?
tire 42 fotos
veja 991 filmes
coma 56 pizzas
tome 86 sorvetes
beba 00 coca-cola (não beba coca-cola) 
tá triste ainda? junte esses números e me chama no whatsapp hahahahhahhahhahahahahaha","0",""
"sede de coca cola bem gelada😣","2",""
"coisas inúteis sobre mim
altura — 1,56
idade — 22
tamanho do pé — 34
signo — aquário
tatuagens — 5 
piercing — 0
cor fav — vermelho 
série fav — modern family 
animal fav — cachorro
comida fav ー pizza
bebida fav — coca cola https://t.co/fzgncfuian","2",""
"coisas inúteis sobre mim

altura — 1,53
idade — 18
tamanho do pé — 35
signo — aquário
tatuagens — 3 por enquanto
piercing — 3 
cor fav — azul
série fav — grey's 
animal fav — cachorro 
comida fav — fricassê 
bebida fav — coca cola https://t.co/hijnagl8hz","2",""
"coisas inúteis sobre mim
altura — 1,63
idade — 14
tamanho do pé — 37
signo — gêmeos 
tatuagens — 0
piercing — 0
cor fav — preto 
série fav — vis a vis e grey’s...
animal fav — cavalo
comida fav — strogonoff 
bebida fav — coca cola https://t.co/fsmn0uqwha","2",""
"coisas inúteis sobre mim
altura — 1,74m
idade — 21
tamanho do pé — 38
signo — aquario
tatuagens — 0
piercing — 2 brinco
cor fav — preto 
série fav — glee 
animal fav — n posso escolher 
comida fav ー panqueca 
bebida fav — coca cola
jogo fav — lol https://t.co/er6saakmso","2",""
"coisas inúteis sobre mim
altura — 1,82
idade — 20
tamanho do pé — 40
signo — áries (eu acho) 
tatuagens — 7
piercing — nenhum 
cor fav — preto 
série fav — nenhuma 
animal fav — cachorro
comida fav  — strogonoff 
bebida fav — coca cola 
jogo fav — cs https://t.co/dtjdfzmftl","2",""
"altura — 1,54
tamanho do pé — 37
signo — peixes
tatuagens — 0 
piercing — 0
cor fav — vinho e rosa
série fav — o vazio
animal fav — todos arara
comida fav — todas, pizza, alfajor, batata frita, coca cola, brócolis
bebida fav — suco natural (laranja)
jogo fav — among us https://t.co/smisct36og","2",""
"pão com ovo é queijo, e coca cola e mto bom me entupo 😆","1",""
"sou viciada em beber coca cola se deixar bebo 2lt sozinha e quero mais, tenho que parar 🤦🏻‍♀️","2",""
"eu já tentei várias vezes mas realmente não rola parar. foda-se minha bunda sabe...eu só quero tomar minha coca-cola em paz e sem culpa da flacidez surgir.","1",""
"@thomzxx como eu digo meu corpo eh feito 70% de coca cola","1",""
"@mahdu_alvs @cellemoraiss de preferência uma coca cola geladinha na garrafa d vidro","2",""
"@gayonetta_ eu acho que eu já tomei tanta coca-cola nessa vida que cafeína alguma vai me deixar acordado.","1",""
"@foleal3 @jornaloglobo tão frágil que a sentença foi aumentada em segunda instância, ou seja, moro foi bonzinho. amiga, vai tomar sua coca-cola pq cansei da brincadeira. abs!","0",""
"@isaxntj7 @claraxis6xp coca-cola 

brilha kross","0",""
"@videosdnv é impressão minha ou a água do vaso já estava preta antes dele colocar a coca-cola?","0",""
"coisas inúteis sobre mim
altura — 1,67
idade — 19
tamanho do pé — 36
signo — gêmeos 
tatuagens — 2
piercing — 4
cor fav —  azul
série fav — black mirror, american horror story
animal fav — gato
comida fav ー muitas kakkaka 
bebida fav — coca cola https://t.co/raoxlh4sal","2",""
"rt @isaiassaad: saudade de me aglomerar com os amigos
todo mundo colocando a mão na mesma pizza 
todo mundo dividindo a mesma coca-cola
aí…","1",""
"@calmagab1 bora comer lasanha com coca cola?kkk","0",""
"coisas inúteis sobre mim
altura — 1,80
idade — 16
tamanho do pé — 41/42
signo — libra
tatuagens — 0
piercing — 0
cor fav — azul/ verde
série fav — ???????
animal fav — cachorro 
comida fav ー batata frita
bebida fav — coca cola https://t.co/trxskjc2of","2",""
"coisas inúteis sobre mim
altura — 1,56 ou 1,57 
idade — 15
tamanho do pé — depende muito, 38 ou 39/40 
signo — câncer 
tatuagens — 0
piercing — 0
cor fav —  preto
série fav — não tenho 
animal fav — não tenho 
comida fav -- sla 
bebida fav — coca-cola https://t.co/dopjozvhpf","2",""
"10 reais uma coca cola, 10 reais","0",""
"coisas inúteis sobre mim
altura — 1,76
idade — 20
tamanho do pé — 40/41
signo — câncer
tatuagens — 0
piercing — 0 
cor fav — preto/azul
série fav — friends 
animal fav — cachorro
comida fav ーcomida baiana/cheddar do mc
bebida fav — coca-cola 
jogo fav – the last of us https://t.co/h0ezhlafpl","2",""
"rt @bea_xavier170: eu só queria um: açaí, hambúrguer, batata frita ,strogonoff, coca cola ,macarrão, torta de limão, musse de maracujá","1",""
"rt @biel_campooss: eu lembro dela falando ""você é um péssimo líder kk vou roubar seu lugar. mas pega refrigerante pra mim ali fazendo favor…","0",""
"mlq kkkkkkkkkkkkkkkkkkkk isso literalmente é eu e a bruna pqppppp garota viciada em coca-cola https://t.co/lflk9doyk1","0",""
"@kah_twi @emilyambroziio kkkkk sim! o cara se acha a última coca cola por causa de um titulozinho","0",""
"guaraná e coca cola https://t.co/1kf4jc7skr","0",""
"rt @taaldoj10: sede de coca-cola, nenhum lugar aberto","2",""
"@thaischristabel ultima bolacha do pacote, a ultima coca cola do deserto, só você.

abushaudhaudha ai.fui ver amei, eu vivo vivendo q devo ser amargurada pq olha","0",""
"o período de abstinência já passou um pouco, mas salivo as vezes numa coca cola gelada","1",""
"rt @barukdemo: fui na esquina comprar uma coca-cola pra jantar,  o dono do bar passou a coca-cola, quando estendi a mão pra pegar o troco;…","0",""
"@madeiramay eu hein, eu só tomo coca cola doida","0",""
"mlk bate no meu ombro e fica se achando a última coca cola do deserto","0",""
"daqui a pouco tô pesando 500kg de tanta coca cola q eu tomo","2",""
"quatro e dez
pensando sozinho no sukyia mais molho inglês
quinze reais com a coca-cola e eu ja sou freguês

alguem sabe me dizer pq essas palavras tocam tao fundo no meu coração","1",""
"@davi_txt pena que hoje em dia,tu vai gastar r$200 numa coca cola e nem vai ter troco","0",""
"enquanto não vejo o último gole de coca cola não sossego.. que vício horrível.","1",""
"pão, carne moída e coca cola. quer café da manhã mais saudável?","0",""
"muito bom acorda de ressaca e tomar uma coca cola geladona...","1",""
"@j4existe amg coca cola já foi boa kkkkkkkkkk hoje em dia tem gosto de água eca chega me dá calafrios","2",""
"minha vó me dando coca-cola escondido foi o melhor kkkkkkk","0",""
"@deadgft coca cola ou cocaína","0",""
"rt @cassioantunnes: boa tarde @cocacola, comprei uma coca-cola retornável e veio com uma plástico dentro. é um brinde? assim fica difícil e…","2",""
"coisas inúteis sobre mim
altura — 1,80m
idade — 20
tamanho do pé — 41
signo — cancer
tatuagens — 0
piercing — 1 e 2 brincos
cor fav — vermelho 
série fav — ahs
animal fav — gatos
comida fav ー hambúrguer 
bebida fav — coca cola
jogo fav — lol https://t.co/rv1wbtb1jq","2",""
"ta triste ?
tire 42 fotos
veja 98 filmes
coma 72 pizzas
tome 14 sorvetes
beba 66 coca-cola (não beba coca-cola) 
tá triste ainda? junte esses números e me chama no zap","0",""
"coisas inúteis sobre mim
altura — 1,55
idade — 15
tamanho do pé — 36
signo — peixes
tatuagens — 0
piercing — 2
cor fav — preto
série fav — euphoria e st
animal fav — cachorro e gato
comida fav ー lasanha e strogonoff 
bebida fav — coca cola https://t.co/x4o5ax1hl2","2",""
"desejando uma torta de frango com requeijão e uma coca-cola bem gelada affs","1",""
"eu achei que eram dois copaço de coca cola bichooooo https://t.co/qknlfdqhhr","0",""
"ta mt cedo pra tomar coca cola ?","0",""
"coisas inúteis sobre mim

altura: 1,59
calçado: 33/34
signo: aquário ♒️ 
tattoo: 0 
piercings: 1
cor: roxo e azul
série fav: lucifer, teen wolf etc ...
desenho fav: scooby doo, 3 espiãs demais 
comida: estrogonofe 
bebida: coca cola 
jogo fav: uncharted e the last of us https://t.co/xm05flaykd","2",""
"coca cola é vida, se deixa eu compro todo dia...🥰","2",""
"@brendakjkj e pensar q de no dia q a gente saiu pra andar de skate, o mais memorável foi uma coca cola...","1",""
"@paulazcosta que bom né, o nosso pra sempre juntas vai ser até os 25 anos 
 na lápide vou escrever aqui jaz uma amante de coca cola, o resto já da pra deduzir","1",""
"rt @feltringab: @missbabilonia @athrur não vou mentir, eu também faria
aquilo com uma coca cola e uma batata palha deve ser uma deliciaaa","1",""
"eu fico mal e automaticamente me da vontade de beber uma garrafa de 2 litros de coca cola sozinha","1",""
"rt @fcnfrj: uma policial atirou em um homem que seria motorista de uma van ,ela deu um tiro na perna do rapaz, isso ocorreu agora a noite n…","0",""
"coisas inúteis sobre mim
altura — 1,70
idade — 18
tamanho do pé — 38
signo — escorpião
tatuagens — quero
piercing — 2
cor fav —  amarelo
série fav — oitnb, ahs
animal fav — @_lililizie
comida fav ー @neigroclarin
bebida fav — coca-cola e draft https://t.co/tdcxyf9wvj","2",""
"@majubitt eu levo uns salgadinhos maconha e coca cola https://t.co/vtc3lha1fu","0",""
"eu só penso em: coca cola","2",""
"@brendinhaxxxx ai sim parabens, faz 7 anos que não bebo coca cola","1",""
"""ele vai correr atrás de mim q eu sei""

ram,retornavel só coca-cola,se eu for não volto mas..","0",""
"meu sonho era comer um miojo de carne com bife e um copo de coca cola","1",""
"acho q nao conseguiria  viver sem coca cola","2",""
"@soueukaique kkkk posta a atual então.

e dá-lhe coca cola 😂","0",""
"@vaieocliion passei o dia todo na cama tomando coca-cola, café, vendo gilmore girls/modern family, lendo e passando raiva com a jk rowling e minha madrasta","0",""
"coisas inúteis sobre mim... 👉🏻👈🏻

altura - 1.55
numero do calçado - 34/35
signo/mbti - câncer e enfp
tattoo - 0
piercings - 0
cor - roxo
série fav - não
anime fav - bsd
comida - parmegiana
bebida - coca cola
jogo fav - ensemble stars, bandori, twst https://t.co/r1fsjc2moh","2",""
"que vontade absurda de tomar coca cola.","2",""
"será que faz mal eu tomar coca cola agora??","0",""
"vai rolar uns salgadinhos com coca cola 🥰","0",""
"coisas inúteis sobre mim
altura — 1,56😭
idade — 16
tamanho do pé — 37/38
signo — touro
tatuagens — 0
piercing — 3
cor fav — rosa
série fav — lucifer
animal fav — galinha galos e pintinhos
comida fav ー prato com arroz feijão frango grelhado e batata frita
bebida fav — coca cola https://t.co/zaemqxx80i","2",""
"coisas inúteis sobre mim
altura — 1,82
idade — 17
tamanho do pé — 40/42
signo — aquario 
tatuagens — 0
piercing — 0
cor fav — azul
série fav — a maldição da res. hills
animal fav — todos
comida fav ー sei la
bebida fav — coca cola
jogo fav — free fire https://t.co/lkgkw2lrrv","2",""
"minha mãe brigando cmg pq eu to viciada em coca cola","1",""
"única droga que eu consumo é coca cola","1",""
"@plsmattme nossaaa  simmmm coca cola esmurra de lavada","1",""
"são 4 anos de faculdade, sendo 1 com estágio obrigatório não remunerado, pra chegar na minha própria casa e escutar “como ana maria e tomo coca cola porque to mto magra precisando engordar”
@deus tá na sua mão","0",""
"sim me dá vontade de tomar coca cola https://t.co/ysiv9tovhg","1",""
"pessoas: coca-cola faz mal 

eu: https://t.co/4vke094tgv","0",""
"eu não sou nada sem uma coca cola de manhãzinha 🥺🥺","2",""
"coisas inúteis sobre mim

altura—1,60
tamanho do pé — 37
signo— câncer 
tatuagens — 0
piercing — 1
cor fav — rosa e preto 
série fav — vis a vis 
animal fav — furão 
comida fav ー tudo
bebida fav — coca cola e suco 
jogo fav — sla https://t.co/bkmtiuimrk","2",""
"rt @regardstomyself: em 87 a @cocacola patrocinou todos os times que disputaram a copa união. o @gremio forçou uma medida até então impensá…","0",""
"@eanxxiv deus me livre coca cola","2",""
"difícil tá menstruada e de reeducação alimentar. queria tá comendo feito uma jumenta, tudo que não presta, enchendo o talo de coca cola, mas tô comendo uma banda de um pão com ovo. te lasca!","1",""
"coisas inúteis sobre mim
altura — 1,56
idade — 23
tamanho do pé — 34
signo — aquário 
tatuagens — 0
piercing — 3
cor fav — preto
série fav — how i met your mother
animal fav — minha gata
comida fav - batata frita
bebida fav — coca cola 
jogo fav — 8 ball https://t.co/gxyfphzde2","2",""
"de boas comendo meu combozimho da morte, miojo c salchicha e coca cola😋","1",""
"coisas inúteis sobre mim:
altura — 1,75
idade — 22
tamanho do pé — 37
signo — áries 
tatuagens — 0
piercing — 0
cor fav — vermelho 
série fav — não tenho favoritismo 
animal fav — cachorro  
comida fav ー strogonoff 
bebida fav — coca-cola 🥱 https://t.co/wbjncu1cyn","2",""
"rt @nathaliagvacari: só queria gostar menos de coca cola kkkkk","2",""
"coisas inúteis sobre mim
altura — 1,74
idade — 19
tamanho do pé — 40 kajdkkfk
signo — virgem
tatuagens — 1
piercing — 0
cor fav — preto
série fav — pll
animal fav — cachorro
comida fav ー estrogonofe
bebida fav — coca cola https://t.co/6a7mulzsay","2",""
"🌴 ˓ pedido: bolo + coca cola + ursinho de pelúcia + cesta de chocolate

   › de: @ilovmyount 
   › para: @safesmaia  

✉️ ─ ❛ ( feliz aniversário meu amor, não se esqueça que eu te amo muito, me desculpa por hoje, eu fui um bobão, mais eu consertei, então me perdoe,","0",""
"coisas inúteis sobre mim
altura — 1,63
idade — 20
tamanho do pé — 36
signo — aquário
tatuagens — 0 😭
piercing — 0😭😭
cor fav — amarelo/rosa
série fav — stranger things
animal fav — cachorro/gato
comida fav ー estrogonofe
bebida fav — coca cola rsssssssss
jogo fav — guitar hero https://t.co/jkz4n0ssup","2",""
"cada um tem o vício que merece 
tem viciados em nicotina 
outros em álcool 
viciados na vida dos outros 
mas eu sou em coca cola mesmo","1",""
"toma uma água desgraça vc só tomou refrigerante hoje maluco. acha que teu rim é filtro da coca cola porra.","0",""
"rt @oliveirappedro: acho q nao conseguiria  viver sem coca cola","2",""
"correção: 40% coca-cola https://t.co/4ba9uiqmhc","0",""
